약물번호,한글명,영문명,분류/구분,이화학정보,남용정보,약물정보
N05,데소모르핀,Desomorphine,마약,체내 대사되어 모르핀을 형성한다. 그 대사체는 glucuronide 포합반응을 거쳐 뇨로 배설된다.,모르핀과 동일,
N04,코독심,Codoxime,마약,,,
N03,코카인,Cocaine,마약,"체내에서 급속히 분해되기 때문에 약효가 신속한 대신 지속시간이 짧다. 
 35~54%가 benzoylecgonine으로, 32~49%는 ecgonine methyl ester로 분해되어 12 시간 이내에 초회 대사되어 혈중농도는 6700 ng/mL이 된다. Benzoylecgonine의 혈중농도는 4~8 시간에 52000 ng/mL로 최고가 되고, 서서히 감소되어 48~72 시간동안 400 ng/mL까지 대사되어 뇨로 배설된다.","주요 부작용은 불안, 우울증, 심장질환이다. 급성 코카인 섭취에 의한 부작용은 고혈압, 빈맥, 땀분비, 편집증을 포함하고, 불안증을 촉진시킬 수 있으며, 다른 흥분 약처럼 코카인의 중추신경 자극으로 정신적 우울증을 유발한다. 코카인에 금단현상을 나타내는 탐닉환자는 신체적 및 정신적 우울증뿐만 아니라 감정의 동요를 보인다. 치명적인 심부정맥과 경련을 유발할 수 있다. 코카인 사용자에서 심근 경색증 발생빈도는 용량, 사용기간, 투약경로와는 관계가 없다. 코카인을 복용한 후 생명에 치명적인 심장작용을 갖는 환자를 확인하는 지표는 없다.",코카인은 주로 코점막을 통해 사용되는데 효과는 투여 15-60분 후에 나타나게 된다. 또한 코카인은 헤로인과 섞어 정맥주사를 하는 경우를 “speedball”이라고 부르는데 주사가 sniffing보다 효과가 빨라 더 인기가 있다. 크랙이나 유리염기의 코카인은 파이프 등으로 흡연하거나 가열한 알루미늄 호일 위에 이들을 놓고 흡입하는 것이 일반적이다. 흡입에 의해 효과가 빨리 나타나기 때문에 탐닉성도 급속히 나타나게 된다.
N02,벤질모르핀,Benzylmorphine,마약,"간대사되어 모르핀 및 모르핀 대사체인 7,8-dihydromorphine- 6-glucuronide를 형성한다. 대사체는 뇨로 배설된다.",모르핀과 동일,
N01,아세토르핀,Acetorphine,마약,체내 대사되어 에토르핀을 형성한다.,에토르핀과 동일,
E04,부탄가스,Butane,환각성유해화학물,,,
E03,메틸알콜,Methanol,환각성유해화학물,,,
E02,초산에틸,Ethyl Acetate,환각성유해화학물,,,
E01,톨루엔,Toluene,환각성유해화학물,,,
D2,티에이치씨,THC,대마,,,
D01,대마,Cannabis,대마,,,"해쉬쉬와 마리화나는 주로 흡연에 의해 남용되는데,  해쉬쉬의 사용방법은 작은 덩어리나 조작으로 만들어 특별히 제작된 파이프로 흡연하는 것으로 알려져 있으며, 달콤하고 건초 같은 냄새 때문에 쉽게 흡연여부를 알 수 있다. 해쉬쉬오일의 사용 방법은 담배에 오일을 한 방울 떨어트려 흡연하는데 그 효과는 대마초를 한대 피운 것과 같다고 한다. 경구로 투여하면(해쉬쉬케이크) 흡연한 것 보다 효과가 3배정도 낮다."
C23,톨루엔,Toluene.,원료물질,,,
C22,황산(염류제외),Sulfuric Acid.,원료물질,,,
C21,과망간산칼륨,Potassium Permanganate.,원료물질,,,
C20,메칠에칠케톤,Methyl Ethyl Ketone.,원료물질,,,
C19,염산(염류제외),Hydrochloric Acid.,원료물질,,,
C18,페페리딘,Piperidine.,원료물질,,,
C17,초산페닐,Phenylacetic Acid.,원료물질,,,
C16,에칠에텔,Ethyl Ether.,원료물질,,,
C15,안스라닐릭산,Anthranilic acid (o-Aminobenzoic Acid).,원료물질,,,
C14,아세톤,Acetone.,원료물질,,,
C13,무수초산,Acetic Anhydride.,원료물질,,,
C12,놀에페드린,Norephedrine,원료물질,,,
C11,사프롤,Safrole.,원료물질,,,
C10,피페로날,Piperonal.,원료물질,,,
C09,"3,4-메칠렌디옥시페닐-2-프로파?","3,4-Methylenedioxy-phenyl-2-propanone",원료물질,,,
C08,이소사프롤,Isosafrole.,원료물질,,,
C07,엔-아세틸안스라닉산,N-acetyl-anthranilic acid,원료물질,,,
C06,슈도에페드린,Pseudoephedrine,원료물질,"반감기는 9-16 시간이며 투여량의 70-90%가 미변화체로, 1-6%가 norpseudoephedrine으로
소변으로 배설됨.","진전(tremor), 빈맥, 심계항진, 부정맥, 신경과민, 일시적인 흥분, 불면, 흥분성(excitability), 어지러움(dizziness), 졸음, 두통, 쇠약감, 어지러움(dizziness), 두통, 발한, 배뇨곤란, 오심, 구토, 경련, 환각, 호흡곤란",
C05,1-페닐-2-프로파논,1-Phenyl-2-propanone(Phenylacetone.),원료물질,,,
C04,리서직산,Lysergic Acid.,원료물질,,,
C03,에르고타민,Ergotamine.,원료물질,,,
C02,에르고메트린,Ergometrine(Ergonovine),원료물질,,"오심, 구토, 혈전정맥염, 이명, 심계항진, 서맥, 일시적인 흉통, 고혈압, 뇌혈관발작, 발작, 어지러움, 두통, 호흡곤란, 발한",
